State,Handgun,Long Gun,Other,Date
Florida,59086,18577,4796,Jul-23
Georgia,14937,6725,957,Jul-23
Guam,175,89,13,Jul-23
Hawaii,0,0,0,Jul-23
Idaho,4265,3941,537,Jul-23
Illinois,19386,8274,767,Jul-23
Indiana,16217,9321,1450,Jul-23
Iowa,2015,1978,159,Jul-23
Kansas,5207,4166,603,Jul-23
Kentucky,8219,5806,577,Jul-23
Louisiana,8535,5199,763,Jul-23
Maine,3053,2934,269,Jul-23
Mariana Islands,21,12,0,Jul-23
Maryland,7961,4451,101,Jul-23
Massachusetts,3957,2284,1367,Jul-23
Michigan,16571,11322,1652,Jul-23
Minnesota,7819,7476,922,Jul-23
Mississippi,6673,4000,407,Jul-23
Missouri,15409,10686,1687,Jul-23
Montana,3803,3546,320,Jul-23
Nebraska,115,1151,13,Jul-23
Nevada,4118,1815,341,Jul-23
New Hampshire,4771,2525,514,Jul-23
New Jersey,6752,3117,903,Jul-23
New Mexico,5751,3425,554,Jul-23
New York,8486,8163,733,Jul-23
North Carolina,21984,8739,1316,Jul-23
North Dakota,1454,1971,131,Jul-23
Ohio,18760,11771,1472,Jul-23
Oklahoma,9653,6393,1099,Jul-23
Oregon,11041,7676,1462,Jul-23
Pennsylvania,33320,15865,19,Jul-23
Puerto Rico,3583,314,50,Jul-23
Rhode Island,869,516,86,Jul-23
South Carolina,8471,4497,1036,Jul-23
South Dakota,1424,1925,123,Jul-23
Tennessee,23702,12849,1494,Jul-23
Texas,47650,23317,3888,Jul-23
Utah,3925,3474,586,Jul-23
Vermont,1041,1078,90,Jul-23
Virgin Islands,25,8,1,Jul-23
Virginia,20735,11824,3133,Jul-23
Washington,12617,6268,905,Jul-23
West Virginia,4011,3927,286,Jul-23
Wisconsin,12231,9075,860,Jul-23
Wyoming,1867,1655,148,Jul-23
Alabama,16880,10167,1216,Jun-23
Alaska,2961,2270,275,Jun-23
Arizona,16544,7951,1675,Jun-23
Arkansas,6035,4039,466,Jun-23
California,33746,21016,4539,Jun-23
Colorado,16583,10450,1482,Jun-23
Connecticut,5038,1912,2753,Jun-23
Delaware,2004,792,91,Jun-23
District of Columbia,271,6,0,Jun-23
Florida,58766,20981,4863,Jun-23
Georgia,16292,7548,932,Jun-23
Guam,155,84,5,Jun-23
Hawaii,0,0,0,Jun-23
Idaho,5006,4368,520,Jun-23
Illinois,19399,7913,761,Jun-23
Indiana,17712,9939,1512,Jun-23
Iowa,2051,1987,138,Jun-23
Kansas,5275,3913,576,Jun-23
Kentucky,9015,6134,502,Jun-23
Louisiana,9389,5236,729,Jun-23
Maine,3253,3112,261,Jun-23
Mariana Islands,19,10,0,Jun-23
Maryland,8844,4725,110,Jun-23
Massachusetts,4408,2335,1170,Jun-23
Michigan,17696,12108,1626,Jun-23
Minnesota,8093,7179,868,Jun-23
Mississippi,7655,4253,421,Jun-23
Missouri,16411,11306,1587,Jun-23
Montana,3876,3735,301,Jun-23
Nebraska,131,1241,19,Jun-23
Nevada,4703,2261,357,Jun-23
New Hampshire,5031,2680,453,Jun-23
New Jersey,7530,3387,863,Jun-23
New Mexico,6405,3704,581,Jun-23
New York,9824,9391,905,Jun-23
North Carolina,25982,9799,1266,Jun-23
North Dakota,1489,2046,118,Jun-23
Ohio,18799,11658,1258,Jun-23
Oklahoma,10384,6425,1152,Jun-23
Oregon,13917,10485,1841,Jun-23
Pennsylvania,36449,18162,12,Jun-23
Puerto Rico,4567,384,67,Jun-23
Rhode Island,1008,566,90,Jun-23
South Carolina,9746,5128,953,Jun-23
South Dakota,1563,1988,139,Jun-23
Tennessee,24651,13369,1591,Jun-23
Texas,51381,24918,3800,Jun-23
Utah,5814,5054,797,Jun-23
Vermont,1498,1405,96,Jun-23
Virgin Islands,43,2,0,Jun-23
Virginia,21984,12563,3363,Jun-23
Washington,14134,7229,924,Jun-23
West Virginia,4369,4232,262,Jun-23
Wisconsin,13776,9343,907,Jun-23
Wyoming,2039,1842,149,Jun-23
Alabama,17565,9949,1179,May-23
Alaska,3115,2346,294,May-23
Arizona,16609,8057,1550,May-23
Arkansas,6456,4327,405,May-23
California,34421,21695,4841,May-23
Colorado,18190,11014,1574,May-23
Connecticut,4991,1776,1779,May-23
Delaware,2470,778,87,May-23
District of Columbia,355,5,0,May-23
Florida,61383,21861,4709,May-23
Georgia,17312,7429,857,May-23
Guam,113,64,13,May-23
Hawaii,0,0,0,May-23
Idaho,5047,4681,590,May-23
Illinois,23805,11014,1103,May-23
Indiana,18327,10110,1464,May-23
Iowa,2236,1939,136,May-23
Kansas,5434,3993,535,May-23
Kentucky,9498,6426,502,May-23
Louisiana,10189,5502,681,May-23
Maine,3398,3030,273,May-23
Mariana Islands,17,6,0,May-23
Maryland,11070,5267,109,May-23
Massachusetts,4567,2330,1095,May-23
Michigan,18504,12622,1673,May-23
Minnesota,9207,8339,913,May-23
Mississippi,7790,4296,375,May-23
